model,case_tag,sample_idx,weighted_mse,overall_mae,high_mae,peak_core_mae,peak_shoulder_mae
tuned,best,496,4.623645054380177e-06,0.0015508650103583,0.0021860308479517,0.0034229755401611,0.0035236477851867
tuned,typical,491,2.649833550094627e-05,0.0025072298012673,0.0043292329646646,0.0756115913391113,0.021980045363307
tuned,worst,221,0.0005752600263804,0.0033371490426361,0.0100440951064229,0.3012645244598388,0.1384756118059158
mixed_T010_a030_mw3,best,76,5.930635325057665e-06,0.0016748458147048,0.0026490841992199,0.008030891418457,0.0037264949642121
mixed_T010_a030_mw3,typical,321,2.664632302185055e-05,0.002022763248533,0.0032511027529835,0.0745208263397216,0.0204448942095041
mixed_T010_a030_mw3,worst,50,0.0004674325173255,0.0060911462642252,0.0162374023348093,0.1392173767089843,0.119438424706459
mixed_T015_a030_mw3,best,378,5.751258868258447e-06,0.0014768468681722,0.0022908188402652,0.0290744304656982,0.0065121795050799
mixed_T015_a030_mw3,typical,325,2.634465454320889e-05,0.0026547147426754,0.0048791640438139,0.0241923332214355,0.0119791207835078
mixed_T015_a030_mw3,worst,50,0.0003983825445175,0.0067789228633046,0.0181169584393501,0.0689687728881836,0.098155602812767
