subset,metric,winner_model,num_cases_won
bone_in_beam_candidate,overall_mae,tuned,51
bone_in_beam_candidate,overall_mae,shoulder_aware_T015_b0p10,38
bone_in_beam_candidate,overall_mae,mixed_T010_a030_mw3,33
bone_in_beam_candidate,overall_mae,mixed_T015_a030_mw3,22
bone_in_beam_candidate,weighted_mse,shoulder_aware_T015_b0p10,66
bone_in_beam_candidate,weighted_mse,mixed_T010_a030_mw3,32
bone_in_beam_candidate,weighted_mse,tuned,27
bone_in_beam_candidate,weighted_mse,mixed_T015_a030_mw3,19
bone_in_beam_candidate,high_mae,shoulder_aware_T015_b0p10,60
bone_in_beam_candidate,high_mae,mixed_T010_a030_mw3,41
bone_in_beam_candidate,high_mae,tuned,22
bone_in_beam_candidate,high_mae,mixed_T015_a030_mw3,21
bone_in_beam_candidate,outside_mae,tuned,71
bone_in_beam_candidate,outside_mae,mixed_T015_a030_mw3,28
bone_in_beam_candidate,outside_mae,mixed_T010_a030_mw3,26
bone_in_beam_candidate,outside_mae,shoulder_aware_T015_b0p10,19
bone_in_beam_candidate,outside_max_abs_error,tuned,63
bone_in_beam_candidate,outside_max_abs_error,mixed_T015_a030_mw3,28
bone_in_beam_candidate,outside_max_abs_error,mixed_T010_a030_mw3,28
bone_in_beam_candidate,outside_max_abs_error,shoulder_aware_T015_b0p10,25
bone_in_beam_candidate,peak_core_mae,mixed_T010_a030_mw3,43
bone_in_beam_candidate,peak_core_mae,shoulder_aware_T015_b0p10,38
bone_in_beam_candidate,peak_core_mae,tuned,35
bone_in_beam_candidate,peak_core_mae,mixed_T015_a030_mw3,28
bone_in_beam_candidate,peak_shoulder_mae,shoulder_aware_T015_b0p10,74
bone_in_beam_candidate,peak_shoulder_mae,mixed_T010_a030_mw3,37
bone_in_beam_candidate,peak_shoulder_mae,mixed_T015_a030_mw3,21
bone_in_beam_candidate,peak_shoulder_mae,tuned,12
non_bone_candidate,overall_mae,tuned,121
non_bone_candidate,overall_mae,shoulder_aware_T015_b0p10,91
non_bone_candidate,overall_mae,mixed_T015_a030_mw3,84
non_bone_candidate,overall_mae,mixed_T010_a030_mw3,60
non_bone_candidate,weighted_mse,shoulder_aware_T015_b0p10,148
non_bone_candidate,weighted_mse,tuned,76
non_bone_candidate,weighted_mse,mixed_T015_a030_mw3,68
non_bone_candidate,weighted_mse,mixed_T010_a030_mw3,64
non_bone_candidate,high_mae,shoulder_aware_T015_b0p10,163
non_bone_candidate,high_mae,mixed_T010_a030_mw3,79
non_bone_candidate,high_mae,mixed_T015_a030_mw3,60
non_bone_candidate,high_mae,tuned,54
non_bone_candidate,outside_mae,tuned,152
non_bone_candidate,outside_mae,mixed_T015_a030_mw3,98
non_bone_candidate,outside_mae,shoulder_aware_T015_b0p10,57
non_bone_candidate,outside_mae,mixed_T010_a030_mw3,49
non_bone_candidate,outside_max_abs_error,tuned,144
non_bone_candidate,outside_max_abs_error,mixed_T010_a030_mw3,83
non_bone_candidate,outside_max_abs_error,mixed_T015_a030_mw3,71
non_bone_candidate,outside_max_abs_error,shoulder_aware_T015_b0p10,58
non_bone_candidate,peak_core_mae,shoulder_aware_T015_b0p10,104
non_bone_candidate,peak_core_mae,tuned,92
non_bone_candidate,peak_core_mae,mixed_T010_a030_mw3,89
non_bone_candidate,peak_core_mae,mixed_T015_a030_mw3,71
non_bone_candidate,peak_shoulder_mae,shoulder_aware_T015_b0p10,167
non_bone_candidate,peak_shoulder_mae,mixed_T010_a030_mw3,74
non_bone_candidate,peak_shoulder_mae,mixed_T015_a030_mw3,63
non_bone_candidate,peak_shoulder_mae,tuned,52
