epoch,train_final_loss,train_base_loss,train_weighted_loss,train_weight_mean,train_weight_max,val_final_loss,val_base_loss,val_weighted_loss,val_weight_mean,val_weight_max
1,0.004331433337531053,0.004016075425286545,0.005067268383863848,1.0638001718521117,3.0,0.000797574994736351,0.0007588189034722745,0.0008880058722570539,1.0645902032852173,3.0
2,0.0006076934312586673,0.0005818759734102059,0.0006679341595445294,1.0638001712560654,3.0,0.0003752310174750164,0.000347752588102594,0.00043934735050424936,1.0645902032852173,3.0
3,0.000380345952224161,0.00036289942904841157,0.0004210545019159326,1.0638001689910888,3.0,0.000356009570939932,0.00034718326991423965,0.00037660427315859123,1.0645902032852173,3.0
4,0.0003155478350818157,0.00030091542353329715,0.00034969012576766543,1.0638001734018325,3.0,0.00028646437206771225,0.00026762411170057023,0.00033042497819405983,1.0645902032852173,3.0
5,0.0002464744238786807,0.0002344952267012559,0.00027442588168923975,1.0638001741170884,3.0,0.00018013739556772633,0.00017011005184031092,0.0002035345302138012,1.0645902032852173,3.0
6,0.00018744177477856284,0.00017666499764891342,0.00021258758563999435,1.063800171971321,3.0,0.00024115499120671302,0.00022835369544918648,0.0002710246776987333,1.0645902032852173,3.0
7,0.00021293525296277947,0.00020397840506120702,0.00023383456345254673,1.0638001713752747,3.0,0.00015798816530150362,0.00014584880648180844,0.000186313331767451,1.0645902032852173,3.0
8,0.0001546263463278592,0.00014654878157307393,0.0001734739948551578,1.0638001680374145,3.0,0.0001462926767708268,0.00014244730571226684,0.00015526520913408602,1.0645902032852173,3.0
9,0.00014101553932778187,0.00013199051209448952,0.00016207393442164175,1.0638001725673676,3.0,9.72255897213472e-05,9.347655766759999e-05,0.00010597333006444387,1.0645902032852173,3.0
10,0.00011734707593132044,0.00011126802323997253,0.0001315315298452333,1.0638001687526704,3.0,0.0001150779280869756,0.00011192792502697558,0.00012242793280165643,1.0645902032852173,3.0
11,0.00013095019909633267,0.00012350003242499953,0.000148333919554716,1.0638001688718797,3.0,7.2407323110383e-05,6.985534004343208e-05,7.836194917035755e-05,1.0645902032852173,3.0
12,0.00010483348328671127,9.886963997814747e-05,0.00011874911717677605,1.0638001712560654,3.0,6.699598672275897e-05,6.265276340127456e-05,7.713017376954667e-05,1.0645902032852173,3.0
13,0.00011007737206819002,0.00010462798617663794,0.00012279260447940033,1.0638001674413682,3.0,5.645216625271132e-05,5.3544142123428173e-05,6.323755556513788e-05,1.0645902032852173,3.0
14,9.471495294019405e-05,8.96061471066787e-05,0.00010663549908713322,1.0638001693487167,3.0,8.74674684018828e-05,8.407193534367253e-05,9.539037830836606e-05,1.0645902032852173,3.0
15,9.538491609237098e-05,9.031476348354772e-05,0.00010721527114583295,1.0638001710176468,3.0,0.000258309256285429,0.00025362846115604043,0.00026923111081123355,1.0645902032852173,3.0
16,8.97576632523851e-05,8.49686090459727e-05,0.00010093212287392817,1.0638001706600189,3.0,5.140550176292891e-05,4.826952209259616e-05,5.8722787543956655e-05,1.0645902032852173,3.0
17,6.929020604729885e-05,6.504420307646796e-05,7.919754532485967e-05,1.0638001693487167,3.0,0.00011973517881415319,0.00011699432709428948,0.00012613049893116113,1.0645902032852173,3.0
18,8.059225808210613e-05,7.60163125141844e-05,9.126946383730683e-05,1.0638001704216002,3.0,8.708570272574435e-05,8.501218441233504e-05,9.192391124088317e-05,1.0645902032852173,3.0
19,7.5697783439864e-05,7.150615201135224e-05,8.547825606547122e-05,1.0638001713752747,3.0,3.5471508283080765e-05,3.333709371872828e-05,4.0451808785292085e-05,1.0645902032852173,3.0
20,5.480611940129165e-05,5.206013439146773e-05,6.121341705875239e-05,1.0638001703023912,3.0,9.743941499618813e-05,8.915357664227486e-05,0.00011677303622127511,1.0645902032852173,3.0
21,7.708053316673613e-05,7.26019684898347e-05,8.753051617259189e-05,1.0638001736402511,3.0,3.898962504899828e-05,3.5844434369209923e-05,4.632840285194106e-05,1.0645902032852173,3.0
22,6.781195957137243e-05,6.380513880958461e-05,7.716120792429138e-05,1.0638001712560654,3.0,3.495829427265562e-05,3.213170891831396e-05,4.155365970291314e-05,1.0645902032852173,3.0
23,6.057373866678972e-05,5.7118320512017816e-05,6.863638061622624e-05,1.0638001708984375,3.0,4.4820282644650436e-05,4.244118872156832e-05,5.037150162388571e-05,1.0645902032852173,3.0
24,6.371751543701975e-05,6.045435178657499e-05,7.133156325562595e-05,1.0638001679182052,3.0,8.297943262732588e-05,7.93922588636633e-05,9.1349504495156e-05,1.0645902032852173,3.0
25,6.826992609603621e-05,6.468194954504725e-05,7.664187018326629e-05,1.0638001720905303,3.0,3.782523402333027e-05,3.46899453579681e-05,4.514090736483922e-05,1.0645902032852173,3.0
26,5.4520778085134226e-05,5.1315742349288485e-05,6.199919450500601e-05,1.063800171971321,3.0,5.012634023296414e-05,4.5850332993722985e-05,6.010368952411227e-05,1.0645902032852173,3.0
27,5.18386960384305e-05,4.867888400167431e-05,5.921159024364897e-05,1.0638001722097397,3.0,4.492376647976926e-05,4.1209866059944034e-05,5.3589533679769374e-05,1.0645902032852173,3.0
28,6.18697106892796e-05,5.8486685116804437e-05,6.976343593851198e-05,1.0638001700639725,3.0,3.181965035037138e-05,2.951758560811868e-05,3.719113448460121e-05,1.0645902032852173,3.0
29,5.288265552644589e-05,5.008141325743054e-05,5.9418886813546126e-05,1.063800173163414,3.0,3.573894678265788e-05,3.3688147512293653e-05,4.0524144744267685e-05,1.0645902032852173,3.0
30,4.4200029011335574e-05,4.152552704363188e-05,5.044053307665308e-05,1.0638001687526704,3.0,4.00838892601314e-05,3.684744376005256e-05,4.76355945065734e-05,1.0645902032852173,3.0
31,5.686349052848527e-05,5.382944331995532e-05,6.39429330585699e-05,1.063800171971321,3.0,2.959047440526774e-05,2.7488058069138787e-05,3.449611194446334e-05,1.0645902032852173,3.0
32,4.349149219069659e-05,4.06988980839742e-05,5.00075446379924e-05,1.0638001712560654,3.0,0.00011188032510108315,0.00010992181098845321,0.0001164501900493633,1.0645902032852173,3.0
33,5.3122098191124676e-05,5.035371389385546e-05,5.958166083928518e-05,1.0638001716136933,3.0,0.00048559573938837275,0.0004823488023248501,0.0004931719271698967,1.0645902032852173,3.0
34,5.4396987366999385e-05,5.118617142579751e-05,6.188889061195368e-05,1.0638001681566238,3.0,2.606126607497572e-05,2.461174150448642e-05,2.9443489638651953e-05,1.0645902032852173,3.0
35,5.795460796889529e-05,5.518313968150324e-05,6.442136628265872e-05,1.063800169110298,3.0,2.2507800149469404e-05,2.1032206503150518e-05,2.5950851613743e-05,1.0645902032852173,3.0
36,3.3610863243666245e-05,3.14128099462323e-05,3.8739653931770593e-05,1.0638001724481583,3.0,3.511970313047641e-05,3.278917777060997e-05,4.055759491529898e-05,1.0645902032852173,3.0
37,4.390668224186811e-05,4.148577189243951e-05,4.955547260396997e-05,1.0638001716136933,3.0,6.817793928348692e-05,6.346847119857557e-05,7.91666976729175e-05,1.0645902032852173,3.0
38,4.9027080619453045e-05,4.6292766502119775e-05,5.5407146141078554e-05,1.0638001683950424,3.0,3.610892614960903e-05,3.283306931552943e-05,4.375259154039668e-05,1.0645902032852173,3.0
39,4.329359978419234e-05,4.0777869975499924e-05,4.916363551728864e-05,1.0638001706600189,3.0,2.9924389968073228e-05,2.8609504883206684e-05,3.299245489688474e-05,1.0645902032852173,3.0
40,3.4504501143601376e-05,3.2651621288096066e-05,3.8827887139632364e-05,1.0638001706600189,3.0,2.121730672661215e-05,1.9918765288821305e-05,2.4247236495284595e-05,1.0645902032852173,3.0
41,3.835707636608277e-05,3.589329158330656e-05,4.410590691531979e-05,1.063800169825554,3.0,4.193824052345008e-05,3.909835462400224e-05,4.856464039039565e-05,1.0645902032852173,3.0
42,4.409417677743477e-05,4.175578959802806e-05,4.955041288394568e-05,1.0638001720905303,3.0,0.0001184558205131907,0.00011389476686599664,0.00012909827860130464,1.0645902032852173,3.0
43,5.2172188604345135e-05,4.921858957823133e-05,5.906391867301863e-05,1.0638001718521117,3.0,5.375620243285084e-05,5.02909936112701e-05,6.18416891011293e-05,1.0645902032852173,3.0
44,3.246207989013783e-05,3.0567890625206926e-05,3.6881854404782643e-05,1.0638001741170884,3.0,3.6985173526772994e-05,3.4476151184207995e-05,4.283955910068471e-05,1.0645902032852173,3.0
45,3.779994973774592e-05,3.53334948349584e-05,4.355501054851629e-05,1.0638001685142517,3.0,3.430385550745996e-05,3.278530721581774e-05,3.7847134553885556e-05,1.0645902032852173,3.0
46,3.425142144169513e-05,3.2098245824272454e-05,3.9275497478229224e-05,1.0638001716136933,3.0,2.047260947620089e-05,1.878623621087172e-05,2.440748008120863e-05,1.0645902032852173,3.0
47,3.456974592882034e-05,3.252790771830405e-05,3.9334034693638384e-05,1.0638001708984375,3.0,2.221026088591316e-05,2.0924017037032173e-05,2.5211496325937333e-05,1.0645902032852173,3.0
48,3.597842335511814e-05,3.387252984930456e-05,4.089217451200966e-05,1.063800171971321,3.0,2.898417320830049e-05,2.7338385356415528e-05,3.282434451102745e-05,1.0645902032852173,3.0
49,3.548828537259397e-05,3.3196083883467506e-05,4.083675540459808e-05,1.0638001722097397,3.0,5.185856578464154e-05,4.930197821522597e-05,5.782393673143815e-05,1.0645902032852173,3.0
50,3.219895335769252e-05,3.0377119959666743e-05,3.644989765689388e-05,1.0638001689910888,3.0,1.6441224977825185e-05,1.528559568214405e-05,1.9137693167067483e-05,1.0645902032852173,3.0
